0	0	7199
0	500000	1211
500000	500000	11798
0	1000000	157
500000	1000000	1524
1000000	1000000	8303
0	1500000	112
500000	1500000	481
1000000	1500000	1787
1500000	1500000	10693
0	2000000	81
500000	2000000	257
1000000	2000000	599
1500000	2000000	2766
2000000	2000000	11019
0	2500000	38
500000	2500000	157
1000000	2500000	315
1500000	2500000	684
2000000	2500000	2811
2500000	2500000	12278
0	3000000	46
500000	3000000	112
1000000	3000000	166
1500000	3000000	309
2000000	3000000	646
2500000	3000000	1771
3000000	3000000	8313
0	3500000	22
500000	3500000	58
1000000	3500000	94
1500000	3500000	158
2000000	3500000	271
2500000	3500000	367
3000000	3500000	1033
3500000	3500000	10351
0	4000000	11
500000	4000000	14
1000000	4000000	27
1500000	4000000	49
2000000	4000000	102
2500000	4000000	126
3000000	4000000	194
3500000	4000000	1993
4000000	4000000	7793
0	4500000	2
500000	4500000	16
1000000	4500000	12
1500000	4500000	26
2000000	4500000	48
2500000	4500000	92
3000000	4500000	78
3500000	4500000	377
4000000	4500000	2719
4500000	4500000	12362
0	5000000	10
500000	5000000	12
1000000	5000000	30
1500000	5000000	64
2000000	5000000	85
2500000	5000000	115
3000000	5000000	110
3500000	5000000	374
4000000	5000000	1154
4500000	5000000	3937
5000000	5000000	10362
0	5500000	6
500000	5500000	19
1000000	5500000	22
1500000	5500000	44
2000000	5500000	75
2500000	5500000	92
3000000	5500000	109
3500000	5500000	277
4000000	5500000	640
4500000	5500000	1382
5000000	5500000	2508
5500000	5500000	11637
0	6000000	15
500000	6000000	19
1000000	6000000	20
1500000	6000000	56
2000000	6000000	66
2500000	6000000	96
3000000	6000000	100
3500000	6000000	280
4000000	6000000	472
4500000	6000000	956
5000000	6000000	1190
5500000	6000000	3308
6000000	6000000	12961
0	6500000	10
500000	6500000	19
1000000	6500000	29
1500000	6500000	59
2000000	6500000	71
2500000	6500000	98
3000000	6500000	99
3500000	6500000	219
4000000	6500000	358
4500000	6500000	489
5000000	6500000	600
5500000	6500000	962
6000000	6500000	2837
